	0
159	intestine,yeast cells,adipose tissue,bacterial cells,bacterial cells,lung,cerebrospinal fluid
160	urine,bacterial cells,blood
161	intestine,yeast cells,cultured cells,cultured cells,bacterial cells,lung,feces,feces
162	intestine,intestine,kidney,bacterial cells,lung,lung,feces
163	intestine,yeast cells,liver,bacterial cells,blood
164	urine,macrophages,feces
165	urine,macrophages,plant
166	urine,algae,heart tissue,muscle,liver,brain,blood,blood,blood,blood,blood,blood,blood,plant
167	urine,blood,blood,blood,blood
168	urine,whole insect,plant
169	urine,liver,blood,feces
170	urine,heart tissue,macrophages,muscle,brain,blood,blood,feces
171	urine,heart tissue,macrophages,brain,blood,blood,blood,plant,feces
172	urine,heart tissue,macrophages,brain,blood,plant
173	urine,algae,macrophages
174	urine,plant,feces
175	urine,heart tissue,macrophages,muscle,blood,blood,blood
176	urine,macrophages,plant
177	urine,algae,plant
178	urine,macrophages,feces
179	urine,muscle,liver,blood,blood,blood,blood
180	urine,algae,heart tissue,macrophages,muscle,liver,brain,blood,blood,blood,blood,blood,blood,plant
181	urine,macrophages,brain,blood,whole insect,feces
182	urine,algae,macrophages,brain,blood,blood,blood,feces
183	urine,algae,plant
184	urine,algae,blood,blood,whole insect
185	yeast cells,bacterial cells,bacterial cells,bacterial cells,bacterial cells,feces,feces
186	cultured cells,cultured cells,liver,bacterial cells,bacterial cells,bacterial cells,blood,feces,feces
187	cultured cells,bacterial cells,bacterial cells
188	bacterial cells,bacterial cells,bacterial cells
189	bacterial cells,bacterial cells,b cells
190	cultured cells,bacterial cells,bacterial cells,lung,b cells,feces
191	liver,bacterial cells,bacterial cells,blood
192	kidney,liver,bacterial cells,bacterial cells,lung
193	cultured cells,bacterial cells,bacterial cells
194	intestine,kidney,bacterial cells,bacterial cells,lung,lung,b cells
195	intestine,bacterial cells,bacterial cells,feces,feces
196	yeast cells,bacterial cells,bacterial cells
197	kidney,bacterial cells,lung,b cells
198	intestine,yeast cells,bacterial cells,bacterial cells,bacterial cells,feces
199	mononuclear cells,retina,cultured cells,hek cells,liver
200	mononuclear cells,retina,cultured cells,hek cells,liver
201	retina,cultured cells,liver
202	mononuclear cells,retina,cultured cells,hek cells,liver
203	retina,cultured cells,liver
204	mononuclear cells,retina,cultured cells,hek cells,liver
205	mononuclear cells,retina,cultured cells,hek cells,liver
206	mononuclear cells,retina,hek cells,liver
207	mononuclear cells,retina,cultured cells,hek cells,liver
208	mononuclear cells,retina,cultured cells,hek cells,liver
209	mononuclear cells,retina,hek cells,liver
210	mononuclear cells,retina,cultured cells,hek cells,liver
211	mononuclear cells,retina,cultured cells,hek cells,liver
212	mononuclear cells,hek cells,liver
213	mononuclear cells,retina,hek cells,liver
214	mononuclear cells,retina,cultured cells,hek cells,liver
215	mononuclear cells,retina,hek cells,liver
216	mononuclear cells,retina,cultured cells,hek cells,liver
217	mononuclear cells,hek cells,liver
218	glioma cells,blood,blood
219	urine,liver,blood,blood
220	cultured cells,blood,feces,feces
221	yeast cells,bacterial cells,blood,blood
222	intestine,cultured cells,liver,blood,blood
223	blood,blood,blood
224	algae,cultured cells,cultured cells,bacterial cells,blood,blood,blood,blood,blood,lung,cerebrospinal fluid
225	intestine,kidney,blood,blood,blood,lung
226	intestine,blood,blood,lung
227	liver,blood,blood,blood,blood,blood,breast
228	blood,blood,whole insect,breast
229	heart tissue,muscle,liver,blood,blood,blood,blood,blood,blood,blood,blood,whole insect
230	algae,blood,blood,whole insect,breast
231	blood,whole insect,breast
232	blood,blood,breast
233	blood,blood,whole insect,breast
234	blood,blood,whole insect,breast
235	macrophages,blood,blood,whole insect
236	blood,blood,whole insect
237	blood,blood,whole insect,breast
238	blood,blood,breast
239	blood,blood,whole insect,breast
240	blood,blood,blood,whole insect,breast
241	blood,blood,blood
242	blood,blood,whole insect
243	blood,blood,whole insect,breast
244	blood,blood,breast
245	blood,whole insect,breast
246	blood,whole insect,breast
247	blood,blood,breast
248	blood,blood,whole insect,breast
249	macrophages,blood,whole insect,breast
250	blood,blood,whole insect,breast
251	blood,blood,breast
252	blood,blood,whole insect,breast
253	blood,blood,whole insect
254	macrophages,blood,whole insect,breast
255	algae,blood,blood,blood,breast
256	heart tissue,muscle,brain,blood,blood,blood,blood,blood,blood,blood,breast
257	blood,blood,whole insect
258	muscle,blood,blood,blood,blood,whole insect,breast
259	blood,whole insect,breast
260	mononuclear cells,hek cells,blood,blood,breast
261	blood,blood,breast
262	heart tissue,brain,blood,blood,blood,blood,whole insect
263	algae,blood,breast
264	blood,blood,blood
